note, finger
60, 0
67, 4
67, 4
67, 4
65, 3
65, 3
64, 2
64, 2
62, 1
64, 2
65, 4
67, 4
60, 0
60, 0
65, 3
65, 3
65, 3
64, 2
64, 2
62, 1
64, 2
65, 0
67, 1
67, 1
69, 2
71, 3
72, 4
72, 4
71, 3
69, 2
67, 1
65, 0
67, 1
67, 1
69, 2
71, 3
72, 4
72, 4
71, 3
69, 2
67, 1
65, 0
64, 0
67, 1
67, 1
69, 2
71, 0
72, 1
74, 2
76, 3
72, 1
77, 4
76, 3
72, 1
74, 2
74, 2
71, 0
72, 1
74, 2
76, 3
77, 4
72, 1
76, 3
74, 2
71, 0
74, 2
72, 2
72, 1
71, 3
69, 3
67, 2
65, 1
64, 0
65, 1
67, 2
69, 0
71, 1
74, 3
72, 2
71, 1
72, 2
74, 0
76, 1
77, 2
79, 0
81, 1
83, 2
84, 3
84, 2
83, 2
84, 3
81, 1
83, 2
79, 0
84, 3
86, 3
84, 2
83, 2
84, 3
81, 1
83, 2
79, 0
77, 3
76, 2
74, 1
72, 3
71, 3
69, 2
67, 1
72, 4
65, 0
71, 3
67, 1
69, 2
65, 0
64, 2
62, 1
60, 0
60, 0
59, 0
64, 2
67, 4
62, 1
64, 0
65, 1
67, 2
69, 4
71, 4
67, 2
64, 0
67, 2
69, 0
71, 1
72, 2
74, 3
76, 4
72, 2
69, 0
72, 2
74, 0
76, 2
77, 2
79, 3
81, 4
77, 2
74, 0
81, 4
79, 3
76, 1
74, 0
77, 2
76, 1
79, 3
76, 1
77, 2
74, 0
76, 0
74, 2
72, 2
71, 1
72, 2
69, 0
74, 3
71, 1
72, 2
69, 0
76, 0
71, 1
72, 2
72, 2
71, 1
74, 3
72, 2
69, 0
67, 3
65, 2
64, 1
62, 0
65, 2
64, 1
67, 3
65, 3
67, 3
67, 3
65, 2
64, 1
65, 2
62, 0
69, 4
67, 3
67, 3
65, 2
64, 1
62, 0
60, 1
59, 0
60, 1
62, 0
64, 1
65, 2
67, 3
69, 0
67, 0
71, 1
76, 4
74, 3
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
72, 2
71, 1
69, 3
67, 3
65, 2
64, 1
67, 3
65, 2
62, 0
69, 4
67, 3
64, 1
65, 2
62, 0
64, 1
62, 0
60, 1
59, 0
62, 2
60, 1
