previous_finger, present_finger, note_increment, thumb_flex
4, 2, -1, 132, 132, 132, 132, 132, 135, 132, 135, 132, 132, 132, 130, 132
2, 3, -1, 150, 150, 150, 150, 147, 145, 145, 142, 140, 140, 137, 135, 132
3, 2, 0, 150, 150, 147, 145, 145, 142, 140, 140, 137, 135, 132, 132, 135
2, 1, -1, 117, 117, 117, 117, 117, 122, 119, 122, 122, 122, 122, 122, 119
1, 0, -1, 117, 117, 114, 114, 109, 109, 107, 107, 104, 102, 102, 99, 102
0, 4, 4, 165, 170, 175, 183, 188, 191, 193, 198, 196, 193, 191, 178, 181
4, 3, -1, 153, 150, 150, 147, 142, 140, 137, 135, 135, 132, 132, 132, 135
3, 2, -1, 150, 150, 147, 145, 142, 140, 137, 135, 135, 132, 132, 132, 132
2, 1, -1, 112, 112, 109, 112, 112, 112, 109, 109, 112, 112, 112, 112, 117
1, 2, -1, 112, 114, 112, 112, 107, 102, 99, 94, 94, 91, 91, 89, 89
2, 2, 2, 188, 193, 196, 196, 196, 201, 198, 201, 201, 191, 186, 183, 183
2, 3, 1, 142, 140, 140, 140, 140, 140, 137, 137, 140, 135, 132, 135, 137
3, 4, 1, 112, 109, 109, 107, 102, 99, 96, 94, 94, 91, 89, 89, 89
4, 3, -1, 81, 79, 79, 79, 76, 73, 73, 73, 73, 73, 73, 73, 73
3, 2, -1, 158, 153, 150, 145, 137, 132, 124, 119, 114, 109, 104, 104, 104
2, 1, -1, 140, 140, 140, 137, 137, 135, 135, 132, 130, 127, 124, 124, 124
1, 4, 3, 158, 158, 158, 158, 158, 158, 155, 155, 153, 150, 147, 142, 142
4, 2, -2, 147, 147, 145, 145, 142, 142, 137, 137, 132, 130, 124, 122, 124
2, 2, 1, 155, 153, 150, 147, 147, 145, 140, 135, 130, 127, 124, 122, 122
2, 0, -3, 150, 147, 147, 145, 140, 135, 130, 127, 124, 122, 122, 124, 119
0, 4, 4, 165, 168, 168, 168, 170, 168, 170, 160, 153, 147, 142, 137, 137
4, 3, -1, 147, 147, 142, 137, 132, 127, 124, 122, 117, 107, 104, 104, 104
3, 2, -1, 158, 155, 150, 142, 135, 127, 122, 117, 114, 109, 107, 104, 107
2, 1, -1, 102, 104, 104, 104, 104, 104, 107, 109, 109, 109, 109, 109, 112
