C0,24
Db0,25
C#0,25
D0,26
Eb0,27
D#0,27
E0,28
F0,29
F#0,30
Gb0,30
G0,31
G#0,32
Ab0,32
A0,33
A#0,34
Bb0,34
B0,35
C1,36
Db1,37
C#1,37
D1,38
D#1,39
Eb1,39
E1,40
F1,41
Gb1,42
F#1,42
G1,43
Ab1,44
G#1,44
A1,45
A#1,46
Bb1,46
B1,47
C2,48
Db2,49
C#2,49
D2,50
Eb2,51
D#2,51
E2,52
F2,53
F#2,54
Gb2,54
G2,55
G#2,56
Ab2,56
A2,57
A#2,58
Bb2,58
B2,59
C3,60
C#3,61
Db3,61
D3,62
D#3,63
Eb3,63
E3,64
F3,65
F#3,66
Gb3,66
G3,67
G#3,68
Ab3,68
A3,69
A#3,70
Bb3,70
B3,71
C4,72
C#4,73
Db4,73
D4,74
D#4,75
Eb4,75
E4,76
F4,77
Gb4,78
F#4,78
G4,79
G#4,80
Ab4,80
A4,81
Bb4,82
A#4,82
B4,83
C5,84
Db5,85
C#5,85
D5,86
D#5,87
Eb5,87
E5,88
F5,89
F#5,90
Gb5,90
G5,91
Ab5,92
G#5,92
A5,93
Bb5,94
A#5,94
B5,95
