previous_finger, present_finger, note_increment, thumb_flex
0, 1, 1, 135, 137, 135, 132, 130, 127, 122, 117, 114, 109, 107, 102, 96
1, 2, 1, 81, 81, 81, 79, 79, 79, 76, 76, 81, 84, 84, 86, 89
2, 3, 1, 96, 96, 94, 94, 94, 91, 89, 89, 84, 81, 79, 76, 79
3, 4, 1, 71, 71, 71, 66, 66, 61, 63, 63, 63, 63, 61, 61, 61
4, 3, -1, 61, 61, 61, 61, 63, 63, 61, 61, 58, 61, 58, 56, 56
3, 2, -1, 63, 63, 63, 63, 63, 66, 66, 66, 68, 68, 71, 73, 79
2, 1, -1, 89, 86, 86, 86, 89, 89, 89, 89, 91, 89, 89, 89, 91
1, 0, -1, 86, 89, 86, 86, 86, 84, 84, 81, 79, 76, 76, 73, 76
0, 1, 1, 112, 112, 112, 112, 114, 122, 122, 119, 119, 117, 112, 107, 99
1, 2, 1, 79, 76, 76, 76, 73, 71, 71, 73, 76, 79, 84, 86, 89
2, 3, 1, 96, 96, 96, 96, 94, 91, 89, 89, 84, 84, 81, 79, 81
3, 4, 1, 73, 73, 71, 71, 71, 68, 68, 63, 63, 63, 61, 61, 61
4, 3, -1, 56, 58, 58, 56, 56, 56, 56, 53, 53, 51, 51, 51, 53
3, 2, -1, 58, 58, 58, 61, 58, 58, 58, 58, 58, 58, 61, 58, 61
2, 1, -1, 66, 66, 66, 68, 68, 68, 68, 71, 71, 71, 71, 71, 71
1, 0, -1, 73, 73, 73, 76, 73, 71, 73, 71, 68, 68, 68, 68, 68
0, 1, 1, 107, 109, 107, 107, 107, 107, 107, 107, 109, 109, 104, 99, 91
1, 2, 1, 91, 96, 102, 107, 112, 119, 127, 132, 135, 132, 130, 124, 122
2, 3, 1, 117, 117, 117, 117, 117, 122, 127, 127, 127, 127, 130, 130, 135
3, 4, 1, 142, 140, 137, 135, 130, 127, 119, 119, 114, 107, 104, 99, 96
4, 3, -1, 71, 71, 71, 71, 68, 71, 71, 68, 68, 68, 68, 68, 68
3, 2, -1, 63, 61, 63, 63, 63, 63, 63, 66, 63, 61, 61, 61, 61
2, 1, -1, 81, 81, 81, 84, 84, 84, 89, 89, 91, 89, 91, 91, 96
1, 0, -1, 112, 114, 114, 112, 112, 109, 99, 96, 91, 89, 91, 89, 91
0, 1, 1, 102, 99, 102, 102, 102, 102, 102, 102, 102, 102, 102, 99, 96
1, 2, 1, 84, 84, 79, 79, 76, 73, 73, 73, 76, 76, 79, 76, 79
2, 3, 1, 73, 73, 71, 71, 68, 66, 66, 63, 63, 61, 58, 61, 58
3, 4, 1, 53, 53, 53, 51, 51, 53, 51, 53, 51, 53, 53, 53, 56
4, 3, -1, 58, 58, 58, 56, 56, 56, 51, 51, 51, 53, 51, 53, 53
3, 2, -1, 63, 63, 61, 63, 61, 61, 58, 58, 56, 56, 56, 56, 61
2, 1, -1, 79, 79, 79, 81, 79, 79, 81, 86, 86, 89, 84, 81, 84
1, 0, -1, 89, 86, 89, 86, 84, 81, 81, 76, 73, 73, 71, 73, 79
0, 1, 1, 145, 147, 147, 147, 150, 147, 145, 142, 137, 132, 127, 119, 119
1, 2, 1, 94, 94, 91, 89, 86, 84, 81, 81, 81, 81, 81, 84, 89
2, 3, 1, 96, 96, 96, 96, 96, 94, 91, 96, 96, 96, 91, 91, 94
3, 4, 1, 84, 84, 84, 81, 84, 84, 81, 79, 76, 76, 76, 76, 76
4, 3, -1, 71, 71, 71, 71, 71, 71, 71, 68, 66, 66, 66, 66, 66
3, 2, -1, 76, 79, 76, 76, 76, 76, 73, 71, 71, 73, 73, 73, 81
2, 1, -1, 73, 73, 73, 76, 76, 79, 79, 81, 84, 79, 79, 79, 81
1, 0, -1, 76, 76, 79, 79, 79, 76, 73, 71, 68, 68, 68, 66, 71
0, 1, 1, 135, 137, 142, 142, 142, 142, 142, 142, 140, 140, 132, 124, 117
1, 2, 1, 91, 91, 91, 89, 89, 86, 84, 81, 79, 76, 76, 79, 79
2, 3, 1, 86, 89, 86, 86, 89, 86, 89, 86, 89, 86, 81, 79, 79
3, 4, 1, 66, 66, 68, 68, 68, 66, 66, 66, 63, 66, 66, 63, 68
4, 3, -1, 76, 79, 79, 79, 81, 81, 79, 79, 79, 79, 79, 79, 79
3, 2, -1, 73, 73, 76, 84, 86, 91, 99, 107, 135, 147, 158, 168, 173
2, 1, -1, 132, 135, 135, 135, 137, 140, 140, 145, 142, 140, 140, 137, 137
1, 0, -1, 107, 107, 109, 107, 107, 107, 104, 102, 99, 94, 91, 89, 91
0, 1, 1, 117, 117, 117, 114, 112, 109, 107, 107, 102, 96, 89, 84, 76
1, 2, 1, 56, 58, 56, 53, 53, 51, 51, 51, 56, 61, 66, 68, 68
2, 3, 1, 76, 76, 73, 73, 71, 71, 68, 68, 66, 63, 63, 63, 61
3, 4, 1, 51, 51, 51, 51, 51, 48, 48, 48, 48, 48, 48, 48, 48
4, 3, -1, 48, 48, 48, 48, 48, 45, 45, 43, 45, 45, 43, 45, 43
3, 2, -1, 48, 48, 58, 61, 66, 66, 68, 66, 68, 68, 66, 68, 68
2, 1, -1, 71, 71, 73, 73, 73, 79, 76, 76, 79, 79, 81, 79, 79
1, 0, -1, 71, 73, 73, 71, 71, 68, 68, 66, 66, 66, 66, 63, 66
0, 1, 1, 109, 109, 109, 109, 109, 112, 112, 109, 109, 109, 107, 102, 94
1, 2, 1, 76, 79, 79, 81, 81, 81, 84, 84, 86, 84, 84, 81, 81
2, 3, 1, 81, 81, 81, 81, 81, 79, 76, 76, 73, 73, 73, 73, 73
3, 4, 1, 73, 76, 73, 73, 73, 73, 76, 73, 73, 73, 73, 71, 73
4, 3, -1, 68, 68, 68, 68, 68, 68, 66, 63, 63, 61, 61, 58, 58
3, 2, -1, 58, 58, 58, 58, 58, 58, 58, 61, 58, 58, 58, 58, 61
2, 1, -1, 73, 73, 73, 76, 73, 73, 76, 79, 79, 79, 79, 79, 79
1, 0, -1, 86, 84, 84, 84, 84, 81, 81, 81, 76, 76, 76, 73, 73
