note, finger
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 1
72, 0
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 2
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 1
72, 0
71, 2
69, 1
67, 3
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 1
72, 3
71, 3
69, 2
67, 0
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
71, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 1
72, 3
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 1
79, 1
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 1
77, 0
76, 2
74, 1
72, 0
71, 3
69, 2
67, 1
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 3
81, 2
79, 0
77, 0
76, 2
74, 0
72, 0
71, 2
69, 1
67, 3
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 2
81, 2
83, 3
84, 4
83, 2
81, 2
79, 0
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 1
65, 2
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 1
69, 2
71, 3
72, 0
71, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 2
81, 2
79, 1
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 1
65, 2
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 2
76, 2
77, 3
79, 1
81, 1
83, 2
84, 3
83, 2
81, 1
79, 3
77, 3
76, 2
74, 1
72, 0
71, 2
69, 1
67, 3
65, 3
64, 2
62, 1
60, 0
